,"u","psi_T"
"1",10000,.9292928504
"2",20000,.8344800197
"3",30000,.7409496936
"4",40000,.6562253845
"5",50000,.5809093424
"6",60000,.5141970897
"7",70000,.4551411455
"8",80000,.4028673293
"9",90000,.3565972324
"10",100000,.3156413493
"11",110000,.2793893300
"12",120000,.2473009260
"13",130000,.2188979372
"14",140000,.1937570863
"15",150000,.1715037107
"16",160000,.1518061784
"17",170000,.1343709457
"18",180000,.1189381831
"19",190000,.1052779030
"20",200000,.9318653258e-1
"21",210000,.8248387940e-1
"22",220000,.7301044652e-1
"23",230000,.6462505572e-1
"24",240000,.5720274330e-1
"25",250000,.5063289779e-1
"26",260000,.4481761168e-1
"27",270000,.3967022241e-1
"28",280000,.3511402078e-1
"29",290000,.3108110770e-1
"30",300000,.2751138244e-1
"31",310000,.2435164703e-1
"32",320000,.2155481336e-1
"33",330000,.1907920142e-1
"34",340000,.1688791828e-1
"35",350000,.1494830825e-1
"36",360000,.1323146618e-1
"37",370000,.1171180675e-1
"38",380000,.1036668312e-1
"39",390000,.9176049543e-2
"40",400000,.8122162537e-2
